path,program_type,format,structural_status,sample_references,simulation_scope,semantic_verdict,semantic_issues,hardware_status,favorite,scratchpad_role,notes
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Bass/Goon Bass.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Bass/Overdrive Bass.xpm,Keygroup,gzip-json,pass,12,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Bass/Rhodes Bass.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Bass/Sub Bass.xpm,Keygroup,gzip-json,pass,12,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Bass/Synth Bass.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Bass/Warm Bass.xpm,Keygroup,gzip-json,pass,12,production,pass,,fail,no,candidate:bass,"Hardware mapping fails the normal playing range: after transposing the Key 37 down three octaves, only the right-side D and keys below it trigger; the XPM claims broader note coverage that the MPC does not honor."
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Guitar/Acoustic Tremolo.xpm,Keygroup,gzip-json,pass,22,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Guitar/Muted Strat.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Keys/Organ.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Keys/Toy Piano.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Keys/Upright Piano.xpm,Keygroup,gzip-json,pass,41,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Keys/Whistler.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Pads/Brass.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Pads/Mellovox.xpm,Keygroup,gzip-json,pass,20,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Pads/Prophet Chorus.xpm,Keygroup,gzip-json,pass,18,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Pads/Strings.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Pads/Universe.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Bass/1990 Bass.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
